"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","non_speech_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Wednesday, 14 February 2024","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[1]","N/A","N/A","Wednesday, 14 February 2024 Chamber"
"0","0","0","0","1","1","2","The SPEAKER ( Hon. Milton Dick )","N/A","N/A","N/A","N/A","N/A","took the chair at 09:00, made an acknowledgement of country and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[2]","N/A","N/A","N/A"
"0","0","0","0","1","1","3","N/A","N/A","N/A","N/A","N/A","N/A","COMMITTEES","N/A","COMMITTEES","/hansard/chamber.xscript/debate[1]/debate.text/body/p","N/A","N/A","N/A"
"0","0","0","0","1","1","4","N/A","N/A","N/A","N/A","N/A","N/A","Selection Committee","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.text/body/a/p","N/A","N/A","Committee 65"
"0","0","0","0","1","1","5","N/A","N/A","N/A","N/A","N/A","N/A","Report","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/subdebate.text/body/p","N/A","N/A","N/A"
"0","0","0","1","1","0","6","The SPEAKER","53517","N/A","N/A","N/A","N/A","I present report No. 22 of the Selection Committee, relating to the consideration of committee and delegation reports and private members' business on Monday 26 February 2024. The report will be printed in the Hansard for today and the committee's determinations will on tomorrow's Notice Paper. Copies of the report have been placed on the table.  The report read as follows— Report relating to the consideration of committee and delegation business and of private Members' business 1. The Committee met in private session on Tuesday, 13 February 2024. 2. The Committee deliberated on items of committee and delegation business that had been notified, private Members' business items listed on the Notice Paper and notices lodged on Tuesday, 13 February 2024, and determined the order of precedence and times on Monday, 26 February 2024, as follows: Items for House of Representatives Chamber (10.10 am to 12 noon) PRIVATE MEMBERS' BUSINESS Notices 1 DR HAINES: To present a Bill for an Act to reform the governance, performance and accountability of grants, Investment Mandates and use of public resources, and for related purposes. (Accountability of Grants, Investment Mandates and Use of Public Resources Amendment (End Pork Barrelling) Bill 2024) Presenter may speak to the second reading for a period not exceeding 10 minutes — pursuant to standing order 41. Debate must be adjourned pursuant to standing order 142. 2 MS STEGGALL: To present a Bill for an Act to amend the Offshore Petroleum and Greenhouse Gas Storage Act 2006, and for related purposes. (Offshore Petroleum and Greenhouse Gas Storage Amendment (Stop PEP11 Forever and Protect Our Coastal Waters) Bill 2024) Presenter may speak to the second reading for a period not exceeding 10 minutes — pursuant to standing order 41. Debate must be adjourned pursuant to standing order 142. 3 MR WILKIE: To move: That this House:  notes that:  the conduct of Australian airlines has recently come under fire for a variety of practices, such as sometimes only offering Frequent Flyer and discount tickets one way, meaning customers are stuck with expensive tickets the other way, increasingly frequent flight delays and cancellations, and the linkage of passenger personal profiles to the fares offered to them;  seeking refunds and other assistance for cancelled flights often leaves consumers feeling underwhelmed, with many offered little to no compensation for flight disruptions;  the Australian Competition and Consumer Commission (ACCC) is concerned about the high level of complaints about airlines as well as their low reliability of services;  Australian airline staff are among the best in the world, yet bear the brunt of increasingly frustrated customers because of improper decisions by management within airline companies; and  calls on the Government to:  accept the ACCC's recommendations made in its submission to the Australian Government's Aviation Green Paper;  establish an independent airline ombudsman with the power to make binding decisions, to allow for fair and efficient resolution of customer complaints; and  establish a targeted and fit-for-purpose compensation scheme for delayed and cancelled flights. Time allotted — 20 minutes. Speech time limits — ","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[1]","The SPEAKER ","(09:01):","N/A"
"0","0","0","1","1","0","7","Mr Wilkie","N/A","N/A","N/A","N/A","N/A","5 minutes.  Other Members —5 minutes each. [Minimum number of proposed Members speaking4 x 5 mins] The Committee determined that consideration of this matter should continue on a future day. 4 MR PASIN: To move: That this House:  notes that:  Australia's severe and intense weather events over recent years have placed immense pressure on the nation's regional, rural, and remote road network;  the Australian Local Government Association estimates that the cost of repairing and replacing flood impacted roads is at least $3.8 billion in New South Wales, Queensland and Victoria alone; and  the Government has scrapped the specifically targeted Bridges Renewal Program and Heavy Vehicle Safety and Productivity Program which, when combined, were valued at $193.5 million per annum by 2026-27;  acknowledges that the federal budget saw financial assistance grants to local government cut as a percentage of tax revenue from 0.52 per cent to 0.50 per cent in stark contrast to councils' long-term aim of achieving 1.0 per cent of tax revenue; and  calls on the Government to invest in Australia's regional rural and remote road network to support local governments, improve road safety and freight productivity. Time allotted — 30 minutes. Speech time limits — ","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[29]","N/A","N/A","N/A"
"0","0","0","1","1","0","8","Mr Pasin","N/A","N/A","N/A","N/A","N/A","5 minutes.  Other Members —5 minutes each. [Minimum number of proposed Members speaking6 x 5 mins] The Committee determined that consideration of this matter should continue on a future day. Orders of the day 1 BETTER AND FAIRER EDUCATION SYSTEM: Resumption of debate (from 12 February 2024) on the motion of Dr Reid—That this House acknowledges the Government's commitment and actions to build a better and fairer education system from early education right through to university, by:  delivering cheaper child care which is making early education and care more affordable for 1.2 million Australian families;  tackling the teacher shortage through the National Teacher Workforce Action Plan;  delivering $275.2 million to schools to improve school infrastructure through the Schools Upgrade Fund;  providing $203.7 million in funding to support student wellbeing across every school in the country through the Student Wellbeing Boost;  working with state and territory governments to get all schools on a path to full and fair funding; and  setting the higher education system up for the future through the Universities Accord, and implementing the priority actions of the accord interim report, which delivers:  an additional 20 new regional university study hubs and 14 suburban university study hubs;  demand driven places for First Nations students from metropolitan areas;  the removal of the unfair 50 per cent pass rule; and  university governance reforms. Time allotted — remaining private Members' business time prior to 12 noon. Speech time limits — All Members —5 minutes each. [Minimum number of proposed Members speaking8 x 5 mins] The Committee determined that consideration of this matter should continue on a future day. Items for Federation Chamber (11 am to 1.30 pm) PRIVATE MEMBERS' BUSINESS Notices 1 DR M RYAN: To move: That this House:  acknowledges that public perceptions of the pervasive influence that lobbyists have over political decision-making have worsened in recent years;  recognises that there is presently no consistent or visible way of knowing which corporate or stakeholder groups are meeting with Government Ministers;  commits to the:  timely publication of ministerial diaries as a vital transparency and accountability measure;  maintenance and publication of a searchable register that includes the names of all lobbyists accessing this building, and that those persons be identified as a professional lobbyist, an in-house lobbyist and/or a former Government representative; and  transparency of meetings held by those individuals with Members of Parliament; and  agrees to extend the post-employment cooling-off period for former Ministers and senior government officials to three years, in keeping with international best practice. Time allotted — 20 minutes. Speech time limits — ","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[44]","N/A","N/A","N/A"
"0","0","0","1","1","0","9","Dr M","N/A","N/A","N/A","N/A","N/A","Ryan —5 minutes.  Other Members —5 minutes each. [Minimum number of proposed Members speaking4 x 5 mins] The Committee determined that consideration of this matter should continue on a future day. 2 MR LAXALE: To move: That this House:  acknowledges:  the work the Government has undertaken to support Australia's multicultural communities, including:  launching the Multicultural Framework Review;  supporting a cohesive and inclusive multicultural society;  investing $20 million in the Adult Migrant English Program;  extending the Community Language Schools grant program to pre-schoolers;  committing $7.5 million to fund the Australian Human Rights Commission to complete its National Anti-Racism Framework;  reducing citizenship processing times by 42 per cent to the lowest level in six years; and  clearing the visa backlogs for nearly 1 million people left behind by the Liberal Party and slashing wait time;  that Australia is proudly one of the world's most vibrant and successful multicultural societies; and  the positive contribution that migration has made to our country, culture and economy; and  condemns the:  Liberal and National parties for their neglect of the immigration system, as outlined in the Nixon Review; and  comments from a former Prime Minister on 2 November 2023, when he stated that he 'always had trouble' with the concept of multiculturalism. Time allotted — 40 minutes. Speech time limits — ","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[80]","N/A","N/A","N/A"
"0","0","0","1","1","0","10","Mr Laxale","N/A","N/A","N/A","N/A","N/A","5 minutes.  Other Members —5 minutes each. [Minimum number of proposed Members speaking8 x 5 mins] The Committee determined that consideration of this matter should continue on a future day. 3 MR CALDWELL: To move: That this House:  notes that:  a report released on 7 February 2024 by the Australian National Audit Office (ANAO) on the Australian Passport Office revealed that passport applications were not being processed in a 'timely and resource efficient manner';  since being elected, the Government has hiked up the price of Australian adult passports of 10 years by $38 and is planning for a second increase this year of $52 from 1 July 2024;  while the Treasurer has called the price hike a 'relatively modest' change, Australians will be paying 29 per cent more to get their passports during a cost of living crunch; and  Australians already pay more for their holiday thanks to the Government blocking airline competition and now they are paying more just to be allowed to leave the country; and  calls on the Government to reverse their big passport price hike until they comprehensively respond to the ANAO recommendations so that Australians get a fair deal on passports. Time allotted — 30 minutes. Speech time limits — ","Selection Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[103]","N/A","N/A","N/A"
