"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Monday, 6 March 2023","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[1]","N/A","N/A"
"0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","The SPEAKER ( Hon. Milton Dick ) took the chair at 10:00, made an acknowledgement of country and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[2]","N/A","N/A"
"0","0","0","1","1","0","2","N/A","N/A","N/A","N/A","N/A","N/A","I present the sixth report of the Petitions Committee for the 47th Parliament.  The report read as follows— HOUSE OF REPRESENTATIVES PETITIONS COMMITTEE REPORT No. 6 Petitions and Ministerial Responses 6 March 2023 MEMBERS OF THE COMMITTEE Chair Ms Susan Templeman MP Deputy Chair Mr Ross Vasta MP Mr Sam Birrell MP Ms Alison Byrnes MP Ms Lisa Chesters MP Mr Garth Hamilton MP Ms Tracy Roberts MP Ms Meryl Swanson MP Report summarising the petitions and Ministerial responses being presented. The committee met in private session in the 47th Parliament on 25 January 2023, 8 February 2023 and 15 February 2023. 1. The committee resolved to present the following 58 petitio ns in accordance with standing order 207: From 7 petitioners—requesting a ban on baby walkers with seats (EN4651) From 27 petitioners—requesting funding for Alambi aged care facility in Dimboola (EN4652) From 1109 petitioners—requesting changes to make it easier for cancer patients to access social welfare (EN4653) From 9 petitioners—requesting that Iran's Islamic Republic regime be listed as a terrorist organisation (EN4655) From 2020 petitioners—requesting the recognition of pharmacists as valid healthcare providers and prescribers (EN4656) From 15 petitioners—requesting a review of the ATO in relation to tax on small business (EN4657) From 10 petitioners—requesting abolition of compulsory voting (EN4658) From 11 petitioners—requesting amendment to assessment of veteran's pension (EN4659) From 8 petitioners—requesting asylum for Chinese students currently in Australia (EN4660) From 6 petitioners—requesting an amendment to the Medicare levy surcharge for domestic violence victims (EN4663) From 16 petitioners—requesting a ban on all non-biodegradable soft plastics (EN4664) From 7 petitioners—requesting a change to quarterly reports for self-managed superannuation funds (EN4665) From 5 petitioners—requesting a new law for data retention, protection and privacy (EN4667) From 29356 petitioners—requesting an inquiry into Australia's Covid-19 response (EN4670) From 79 petitioners—requesting regulation of public official's statements about climate change (EN4671) From 48 petitioners—requesting a law to prevent social media restriction promotion of parliamentary petitions (EN4674) From 1077 petitioners—requesting action to prevent the Chalumbin Wind Farm environmental approval (EN4675) From 14 petitioners—requesting an alternative pathway to general registration for international medical graduates (EN4677) From 23 petitioners—requesting the elimination of daylight savings time (EN4678) From 7 petitioners—requesting regulation of childcare centres to waive fees on sick days (EN4680) From 25 petitioners—requesting recognition for the state of Palestine (EN4681) From 12 petitioners—requesting Australian action against Iran (EN4682) From 60 petitioners—requesting that family sponsored refugee visas be fast tracked (EN4685) From 22 petitioners—requesting the use of surplus cruise ships as housing (EN4686) From 89 petitioners—requesting changes to the parliamentary petitions process (EN4687) From 4 petitioners—requesting funding for PCR testing (EN4688) From 5 petitioners—requesting legislation to mandate personal methane sequestering (EN4689) From 450 petitioners—requesting an extension to Homebuilder grant documentation for off-the-plan applicants (EN4691) From 3 petitioners—requesting changes to income tax rules for fundraisers (EN4696) From 20 petitioners—requesting legislation to make cancelling digital subscriptions easier (EN4697) From 1264 petitioners—requesting Automated External Defibrillators be mandatory for businesses with public access (EN4699) From 44 petitioners—requesting changes to allow point-based-skilled-visa-applicants to have a spouse or de-facto partner (EN4700) From 11 petitioners—requesting disaster relief grants for flood stricken Cabonne residents (EN4701) From 73 petitioners—requesting the regulation of drug and alcohol rehabilitation and treatment centres (EN4704) From 197 petitioners—requesting funding for court-ordered psychiatric assessments (EN4705) From 19 petitioners—requesting changes to conditions of visa classes 491 and 494 (EN4709) From 6 petitioners—requesting consideration of whether to support China to join the CPTPP (EN4711) From 5 petitioners—requesting changes to medicinal marijuana use in Australia (EN4713) From 15 petitioners—requesting a change to policy to allow people with ADHD and autism to join the ADF (EN4715) From 4 petitioners—requesting changes to sick leave (EN4716) From 627 petitioners—requesting minimum minutes for healthcare in nursing homes (EN4717) From 1 petitioners—requesting permanent residency for some students (EN4718) From 11 petitioners—requesting that the government bring the remaining Bali nine back to Australia (EN4721) From 6 petitioners—requesting mandatory COVID test for people coming from China (EN4722) From 9 petitioners—requesting changes to control of schedule 8 medications (EN4725) From 4 petitioners—requesting restrictions on travel from China due to recent covid outbreak (EN4726) From 4 petitioners—requesting Covid testing at the border (EN4728) From 119 petitioners—requesting increases to the Medicare rebate (EN4729) From 4 petitioners—requesting health checks upon arrival on travellers from China (EN4731) From 5 petitioners—requesting the removal of testing mandates on travellers from China (EN4732) From 127 petitioners—requesting criminalization of sexual acts with minors (EN4736) From 390 petitioners—requesting funding for the Trove website (EN4737) From 63 petitioners—requesting reversal of the PBS price increase for concessional card holders (EN4744) From 6384 petitioners—requesting funding for Trove and the National Library (EN4745) From 548 petitioners—requesting a ban on products produced by Uyghur forced labour (EN4746) From 22240 petitioners—requesting funding for Trove (EN4747) From 14496 petitioners—requesting a Royal Commission into the national housing crisis (EN4753) From 73 petitioners—requesting the grant of protection visas to certain refugees (PN0554) 2. The following 10 ministerial responses to petitions were received by the Committee on 15 February 2023: From the Minister for Communications to a petition regarding increasing numbers of online scams (EN3472) From the Minister for Foreign Affairs to a petition regarding a review of the provision of foreign aid (EN3549) From the Minister for Regional Development, Local Government and Territories to a petition requesting the return the NT to Federal control (EN3572) From the Minister for Veterans Affairs to a petition regarding amending the Veterans Acts (EN4196) From the Minister for Veterans Affairs to a petition requesting a review of defining 'evidence' under the Veterans' Entitlement Act 1986 (VEA) (EN4205) From the Minister for Veterans Affairs to a petition requesting a change to Veterans Entitlement 1986 Act (VEA) and procedural apprehended bias (EN4353) From the Minister for Veterans Affairs to a petition requesting a law amendment to the Veterans' Entitlement Act 1986' (EN4381) From the Minister for Veterans Affairs to a petition regarding the confirmation of the RMA definition of 'clinical onset' (EN4382) From the Minister for Health and Aged Care to a petition requesting to stop general practitioners (GP) charging fees above Medicare rebates (EN4485) From the Minister for Communications to a petition requesting to block international scam calls (EN4518) Correction to previous presentation In Report 06 presented on 13 February 2023 the incorrect petition number (EN3528) was given to a response from the Minister for the Public Service. The correct information is: From the Minister for the Public Service to a petition regarding a mandate for all public servants to be vaccinated (EN3548) Ms Susan Templeman MP Chair—Petitions Committee","Petitions Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[1]","Ms TEMPLEMAN (Macquarie) ","(10:01):"
"0","0","0","1","1","0","4","N/A","N/A","N/A","N/A","N/A","N/A","I present the following 58 petitions:","Presentation","PETITIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/speech/talk.text/body/p","Ms TEMPLEMAN (Macquarie) ","(10:01):"
"0","0","0","1","1","0","6","N/A","N/A","N/A","N/A","N/A","N/A","I present the following 10 ministerial responses to petitions previously presented:","Responses","PETITIONS","/hansard/chamber.xscript/debate[3]/subdebate.1[1]/speech/talk.text/body/p","Ms TEMPLEMAN (Macquarie) ","(10:01):"
"0","0","0","1","1","0","8","N/A","N/A","N/A","N/A","N/A","N/A","Mr Speaker, before petitions are presented to the House, the Petitions Committee assesses each one to ensure that they comply with the Standing Orders. There are several requirements in the Standing Orders, but today I would like to briefly mention the Committee's approach to the requirement for moderate language in petitions.  Clearly the Committee does not accept petitions that contain derogatory, offensive or abusive language. In line with the requirements of the House, we do not allow insults to Members of Parliament, the judiciary or the Governor-General. Petitions should rely on reasoned argument rather than inflammatory words. The Committee has also taken the view that language which discloses personal information about a private individual is not 'moderate'. Petitions that are about a person who is not the petitioner or a public figure are usually considered out of order. Petitions are not a forum for arguments or debate between individuals. Mr Speaker, the Petitions Committee is working to reduce the number of requests for petitions that do not comply with the Standing Orders. We are also committed to explaining why a petition is considered out of order, and the criteria that we apply to assess each petition. I look forward to updating the House further on the work of the Committee.","Statements","PETITIONS","/hansard/chamber.xscript/debate[4]/subdebate.1/speech/talk.text/body/p[1]","Ms TEMPLEMAN (Macquarie) ","(10:01):"
"0","0","0","1","1","0","10","N/A","N/A","N/A","N/A","N/A","N/A","I move:  That this bill be now read a second time. Fed up with wave after wave of rorts, corruption, rampant cronyism, secret ministries and a lack of transparency, Australians sent this parliament a very clear message at the 2022 federal election: clean up your act. Across the country, including in my electorate of Mackellar, building greater integrity into our political system was a core election issue, and remains so. Trust in our political system in recent years has been at an all-time low. The latest OECD trust survey report found just 38 per cent of Australians trust their national government. And Australia's score in the Corruption Perceptions Index also bottomed out in 2021, when we recorded our lowest ever score. That score recovered slightly last year following the successful passage of the National Anti-Corruption commission legislation which many of us here on the crossbench fought so hard for—particularly the member for Indi, Dr Helen Haines, who I'm very proud to say is seconding this bill today. While the National Anti-Corruption Commission is a significant step in the right direction—there is more we must do to rebuild the integrity infrastructure that supports our democracy. The National Anti-Corruption Commission is a safety net—investigations will be activated in response to corruption allegations. We now need to take steps to prevent corruption and cronyism from happening in the first place. To do this we must build integrity, accountability and transparency into every area of our political system. There are many changes this parliament needs to enact to that end, including addressing lobbying and donation reforms and implementing stronger protections for whistleblowers. This bill that I'm introducing today addresses the culture of cronyism and party friendly appointments that have distorted and undermined our democracy. My 'ending jobs for mates' bill will establish a framework to ensure that major public Commonwealth appointments are made independently and transparently—and that appointees are of the highest quality and expertise. This bill would mean that appointments are no longer left entirely to the discretion of a minister and so would end the 'jobs for mates' culture that has plagued our political system. Recent history shows us why this is so critical. In just the last few years, Australians have seen fossil fuel executives appointed to both the chair of the Climate Change Authority and the National COVID-19 Coordination Commission. Is it any wonder that we ended up with a 'gas-led recovery' to COVID? And worst of all, under the previous coalition government the Administrative Appeals Tribunal, or AAT, became a byword for party friendly appointments and cronyism. The AAT is actually a crucial pillar of our democracy, as it plays a central role in holding the government to account by independently reviewing administrative decisions made by federal government ministers, departments and agencies. But the integrity of the AAT itself was so undermined by cronyism that it is set to be completely abolished and replaced later this year. Under the Morrison government a staggering 40 per cent of appointments to the AAT had 'direct political connections'—such as party staffers or officials. This is up from six per cent under the Howard government and five per cent under the Rudd and Gillard governments. Many of these political appointees did not have legal qualifications, which limited their ability to perform their role effectively. This unchecked politicisation of appointments to the AAT undermined the public's access to justice—so the fact that it was used to provide party allies with highly paid jobs is a national shame. Political appointees have also been found to be less likely to give frank and fearless advice. To be clear, this 'jobs for mates' culture in Australian politics damages our democracy, wastes taxpayer money, leads to poorer outcomes and decisions and erodes trust in government. That's why it's so important for the Albanese government to back my Transparent and Quality Public Appointments Bill 2023. Drafted in partnership with the Centre for Public Integrity, this bill would see the creation of a public appointments commissioner and departmental independent selection panels (ISP). The appointments process would be overseen by a parliamentary joint committee on appointments which would have no more than 50 per cent representatives from the government. The public appointments commissioner and departmental selection panels would be responsible for implementing a transparent and independent recruitment process for all major Commonwealth public appointments. This would include members of the National Anti-Corruption Commission, the AAT and the ACCC, for example, and would also include government business entities such as Australia Post. If the appointment is deemed to be a 'significant integrity officer' position, a former High Court or Supreme Court judge is also required to be on the selection panel. The recruitment process would require independent selection panels to publicly advertise the relevant position; run a competitive selection process; and shortlist at least three candidates for the minister to choose from. The minister will only be able to choose from this list and cannot add to the list. Selections by the independent panel must be based on expertise, experience and integrity and also have a view to promoting diversity. In short, this bill would ensure that a candidate with the requisite expertise and knowledge gets the job—not the bloke who the minister went to school with, or their former staffer or party official. This bill strikes the right balance between independence and ministerial discretion. Nor will this bill be a major cost burden. It has been costed by Treasury at $3 million a year to enact. I believe it is a small price to pay to restore integrity to the public appointments process. I was also pleased that the government further acknowledged the problem of cronyism with its recent announcement of a review into public sector board appointments. However, the scope of that review is far too limited to have an impact on the 'jobs for mates culture' as board appointments only make up a minor portion of the accountable authority positions that must be captured. It is a timid step that is unlikely to have concrete benefit unless changes to the appointments process are legislated as outlined in this bill. The people of Mackellar have told me loud and clear that restoring integrity in politics and tackling corruption are at the top of the list of issues they want their MP to pursue. And it's not just the people of Mackellar. People all around this country are desperate for a return to decency and integrity in our national politics. The people of Australia want and deserve a political system they can trust. This bill aims to do just that by ending for good the cronyism and 'jobs for mates' culture that has undermined our democracy for too long. I urge all members of this House to do what is necessary and right and to support this bill as another vital step in restoring integrity and decency to our political system. I would like to cede the remainder of my time to the member for Indi. I'm proud to second this important bill, the Transparent and Quality Public Appointments Bill 2023, and I commend the member for Mackellar for shining a light on this pernicious problem, which is essentially a political loyalty award scheme rather than a legitimate appointment process for federal government positions. It's time to stop this cronyism—this patronage for pals. Political appointments have grown substantially in the last five years, and many of these appointments are made on election eves. Across all federal government appointees, seven per cent have a direct political connection, and this figure rises to 21 per cent amongst those positions that are well paid, prestigious and powerful. Political stacking was so bad in the AAT, as the member has told us, that the Attorney-General, to his credit, has abolished it and is starting again. But both sides of politics, at state and federal levels, are guilty of slipping a sweet spot to a loyal mate—a former party MP, a staffer, a party member or even a failed candidate. Aside from fundamental morality, this matters because we are potentially missing out on the very best people. Jobs for mates can constrain public policy. When political party loyalty is being rewarded, appointees are less likely to put forward policy recommendations and reforms that might rock the boat and that don't align with party positions. This is a big problem, but this bill brings a clear fix which would align us with international best practice. No more captain's picks! Let's restore fairness, due process and trust, with quality, non-political public appointments. The people of Mackellar care, the member for Mackellar cares, and all of the crossbench care. Let's get on and do it. The time allocated for this debate has expired. The debate is adjourned and the resumption of the debate will be made in order of the day for the next sitting.","Transparent and Quality Public Appointments Bill 2023","BILLS","/hansard/chamber.xscript/debate[5]/subdebate.1/subdebate.2[2]/speech[1]/talk.text/body/p[1]","Dr SCAMPS (Mackellar) ","(10:03):"
"0","0","1","0","1","0","12","Dick, Milton MP ","53517","Oxley","ALP","N/A","1173","N/A","Transparent and Quality Public Appointments Bill 2023","BILLS","/hansard/chamber.xscript/debate[5]/subdebate.1/subdebate.2[2]/speech[2]/interjection/talk.start","N/A","N/A"
"0","0","0","1","1","0","14","N/A","N/A","N/A","N/A","N/A","N/A","I move:  That this House:  (1) notes:  (a) Australia has signed the Global Methane Pledge to reduce methane emissions by 30 per cent by 2030;  (b) methane is the second most abundant greenhouse gas released into the atmosphere and is over 80 times more potent than carbon dioxide over a 20 year period;  (c) the fossil fuel sector accounts for nearly 40 per cent of Australia's methane emissions; and  (d) the International Energy Agency highlights that methane emissions from oil and gas are some of the easiest to abate; and  (2) calls on the Government to:  (a) enact effective national methane regulations to limit venting and flaring of gas;  (b) implement best practice regulations from the Oil and Gas Methane Partnership; and  (c) use the Safeguard Mechanism and other legislative pathways to drive methane capture. Last year, Australia signed the Global Methane Pledge to cut 30 per cent of methane emissions by 2030. Most people think methane comes just from agriculture. We always get an outcry from the Nationals members about meat production, but that's only half the contribution of methane in Australia. Fossil fuel mining creates 40 per cent of our methane emissions. Natural gas is methane, and all too often it is left just to leak out into the air. Gas is at record high prices and it's just leaking out, so we're losing resources, risking energy supply and cooking the planet. It makes no sense. Methane is over 80 times more potent than carbon dioxide over a 20-year period. The fossil fuel industry in Australia is releasing to the atmosphere large quantities of gas that should be captured and brought to market. The International Energy Agency found that fossil fuel companies in Australia are emitting around twice the methane that the government reports to the UNFCCC. This is now on satellite data. A recent satellite study from SRON, a Dutch space research institute, identified methane plumes across Australian coalmines. They estimated that Glencore's Hail Creek mine in Queensland was emitting 15 per cent more methane than the total methane emissions reported by all open-cut mines in Queensland combined. In January, the east coast was facing ministerial intervention to keep the lights on, and energy prices were skyrocketing. The coalition and the media were obsessing about us needing new gas fields because there wasn't enough supply. To give you an idea, Mr Speaker, in January, during that perceived period of shortage, AEMO and the ACCC identified that we needed 30 petajoules of gas on top of the current supply. The Environmental Defence Fund has identified that our annual methane emissions from leakage—we're just letting it drift out—is 77 petajoules. So we could have met any shortage without opening up new wells. If we were in a drought and we had a leaking tap of water drip, drip, dripping away, we would fix it. We would not say: 'She'll be right. Let that tap keep leaking. Let's go and open a new well.' It's time we did the same for methane and gas. The government has to put in some gas leakage restrictions. The amount of gas leaking from Australian oil, gas and coal mines each year is about five per cent of our annual usage. The International Energy Agency's annual methane tracker report, released last Tuesday, shows that methane emissions released through the fossil fuel supply chain are rising, even though technologies are available to cost-effectively capture and sell that gas. We have an opportunity. The safeguard mechanism reforms are an important opportunity for the government to bring in sensible measures for capturing and using that gas. But the effectiveness of the safeguard mechanism will depend on the accuracy of the data it is based on. The current reporting framework is too lax to ensure accuracy, so I've proposed an amendment to fix this. Currently, most reports on oil and gas activities are based on national averages rather than actuals. This needs to change. They have to be from real data. The safeguard mechanism reform process is an important moment to address energy sector methane emissions. This is crucial for dealing with global warming. The fossil fuel industry can cut methane cheaply. We need to do this. The Environmental Defence Fund found that, by focusing on the energy sector, Australia could cut methane emissions by 30 per cent by 2030, below a cost of $33 per tonne of carbon dioxide equivalent. The European Union will require importers to report methane emissions from supply chains, conduct regular leak detection and repair programs, and cease methane venting and flaring in domestic oil and gas production. Australia's largest gas importer, Japan, has signalled its preference for low-emissions gas, yet currently in Australia there is no national regulation preventing venting and flaring of methane; it is just allowed to leak. So I call on the Albanese government: get serious about these leaks; enact effective national methane regulations to limit venting and flaring of gas; implement best-practice regulations from the Oil and Gas Methane Partnership; and use the safeguard mechanism and other legislative pathways to drive methane capture and apply global best-practice standards consistently across fossil fuel projects. If we want to deal with global warning, we have to deal with methane. Is the motion seconded? Ms Chaney: I second the motion and reserve my right to speak.","Global Methane Pledge","PRIVATE MEMBERS' BUSINESS","/hansard/chamber.xscript/debate[6]/subdebate.1[1]/speech[1]/talk.text/body/p[1]","Ms STEGGALL (Warringah) ","(10:14):"
"0","0","1","0","1","0","16","Dick, Milton MP ","53517","Oxley","ALP","N/A","1174","N/A","Global Methane Pledge","PRIVATE MEMBERS' BUSINESS","/hansard/chamber.xscript/debate[6]/subdebate.1[1]/speech[1]/interjection[1]/talk.start","N/A","N/A"
