"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker took the chair at 2.30 p.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mr. McDONALD presented five petition's from certain residents of Cloncurry, praying that stringent legislation be enacted to prevent the importation of opium for smoking purposes into the Commonwealth.","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mr. FOWLER presented a petition from the Western Australian Chamber of Manufactures, protesting against the provision in the Trades Marks Bill for legalizing the use of union labels.","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Petitions received.","N/A","PETITIONS","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A"
"1","0","0","0","0","0","0","1","0","2","PAGE, James","KXO","N/A","N/A","N/A","352","asked the Minister representing; the Minister of Defence, without notice:-  1. Is it true, as reported in the press, that several military rifles have burst? 2. If. so, what is the cause? 3. Who are making the cartridges? 4. What inspection have they undergone?- 5. What is proposed in future to prevent these accidents?","BURSTING OF MILITARY RIFLES","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","4","EWING, Thomas","KDR","N/A","Protectionist","N/A","352","The following are the replies to the questions of which the honorable member gave notice to the Prime Minister : -  1. Five rifles are reported by the Commandant, New South Wales, to have burst within the last few weeks. 2. A Military Board is inquiring into the cause, but all the damaged rifles have not yet been received for inspection. 3. The Colonial Ammunition Company. 4.. Until the Board has taken evidence it cannot be stated what particular ammunition was being used when the rifles burst; but all ammunition obtained from the Colonial Ammunition Company is inspected by the Inspector of Ordnance and Ammunition, in Victoria, before it is shipped to other States. 5. Until a report has been received from the Board as to the cause of the accidents, no action can be taken in this direction. I also desire to say that the fullest information will be given to honorable members later on.","BURSTING OF MILITARY RIFLES","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","6","JOHNSON, Elliot","K99","N/A","N/A","N/A","352","I wish to ask the Minister of Trade and Customs when the papers relating to the increased duties levied on harvesters will, as promised, be laid upon the Library table. They were not available up till within a short time before the House met.","INCREASED DUTY ON HARVESTERS","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","8","LYNE, William","KIN","N/A","Protectionist","N/A","352","They will be laid on the table to-morrow.","INCREASED DUTY ON HARVESTERS","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","10","KNOX, William","KYT","N/A","N/A","N/A","352","I desire to ask the Prime Minister whether he is in possession of fuller information than appeared in the press yesterday with regard to the result of the Pacific Cable Conference, which commenced its sittings in London on 22nd June last?","PACIFIC CABLE CONFERENCE","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","12","DEAKIN, Alfred","009MD","N/A","Protectionist","N/A","352","I am not yet in possession of fuller information. We were not informed of the meeting of the Conference, although previous notice had been given of the date upon which it would assemble. Unless a report of what transpired comes to hand within the next day or two, I propose to communicate with London with a view to obtaining particulars.","PACIFIC CABLE CONFERENCE","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/answer/talk.start/para","N/A","N/A"
