"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker (fit. Hon. W. A. Watt) took the chair at 2.30; p.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Notice of Motion No. 6, Mr. Makin (Disallowance of Statutory Rule No. 177 of 1923), withdrawn.","N/A","WITHDRAWAL OF NOTICE OF MOTION","/hansard/chamber.xscript/debate[1]/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","2","MOLONEY, Parker","L4X","N/A","ALP","N/A","489","I ask the Prime Minister whether there is any truth in a published statement that the Government propose to appoint the Right Honorable W. M. Hughes to the position about to be vacated by Mr. Donald Mackinnon, Commonwealth Commissioner in America?","COMMONWEALTH COMMISSIONER IN THE UNITED STATES OF AMERICA","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","4","BRUCE, Stanley","F4B","N/A","NAT","N/A","489","I can assure the honorable member that the Government will take the House entirely into their confidence as soon as any decision on the matter is arrived at.","COMMONWEALTH COMMISSIONER IN THE UNITED STATES OF AMERICA","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","6","WEST, John Edward","KZA","N/A","N/A","N/A","489","Owing to the National Government being the most important utility in Australia, will the Prime Minister state, for the information of the people, what progress, if any, has been made in . the reconstruction of the Ministry? Is it a fact that the honorable member for Swan (Mr. 'Gregory) is to be. Minister for Trade and . Customs, in the place of the present Minister, Mr. Austin Chapman?","THE MINISTRY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","8","BRUCE, Stanley","F4B","N/A","NAT","N/A","490","I feel sure that the honorable member is asking, not a flippant, but a serious question, and is, therefore, entitled to an answer. I can assure him that, when there is any alteration in the Ministry, an announcement on the subject will be duly made.","THE MINISTRY","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","10","FORDE, Francis Michael","F4U","N/A","N/A","N/A","490","I ask the Prime Minister whether, in view of the estimated surplus of £10,000,000 at the close of the present financial year, he will have the income-tax exemption raised to £300 per annum and an additional £50 exemption given in respect of each child dependent on the taxpayer?","INCOME TAX","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","12","BRUCE, Stanley","F4B","N/A","N/A","N/A","490","The answer to the honorable member's question, quite obviously, will depend on the financial position of the Commonwealth as disclosed when the Estimates are in and the financial statement for the year is being prepared. In any case, the honorable member must know that the policy of the Government would not be announced in answer to a question.","INCOME TAX","QUESTIONS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/answer/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mr. GREGORY, as Chairman, presented the report of the Public Works Committee, together with Minutes of Evidence and plan, relating to the proposed erection of additional block of seamen's barracks at Flinders Naval Depot.","Additions, Flinders Naval Depot","PUBLIC WORKS COMMITTEE","/hansard/chamber.xscript/debate[3]/subdebate.1/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ordered to be printed.","Additions, Flinders Naval Depot","PUBLIC WORKS COMMITTEE","/hansard/chamber.xscript/debate[3]/subdebate.1/para[2]","N/A","N/A"
"1","0","0","0","0","0","0","1","0","14","BRENNAN, Frank","JSC","N/A","N/A","N/A","490","I ask the Prime Minister whether he has any recent information from which an optimist might conclude that the Marconi Company have facilities for the construction of reciprocal wireless stations in Great Britain?","ERECTION OF WIRELESS STATIONS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","16","BRUCE, Stanley","F4B","N/A","NAT","N/A","490","There is no information on the subject that I can give to the House at the moment. Cable communications upon it have been taking place between the Australian and the British Governments for some time. As soon as it is possible to make a definite announcement on the subject I will take the opportunity to do so.","ERECTION OF WIRELESS STATIONS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Alleged appointment of ex-special Constable as Cleaner.","HOUSE OF REPRESENTATIVES' STAFF","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[2]/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","18","BLAKELEY, Arthur","JPV","N/A","N/A","N/A","490","I wish, Mr. Speaker, to put a question to yourself without notice. Is it a fact that a cleaner is to be appointed to this House, and that the man is one of the ex-specials of the Victorian Police Force?","HOUSE OF REPRESENTATIVES' STAFF","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[2]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","20","WATT, William","10000","N/A","N/A","N/A","490","I am not aware of the facts relating to the matter to which the. honorable member refers, but I shall make inquiries, and acquaint him, later, of the result.","HOUSE OF REPRESENTATIVES' STAFF","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[2]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","22","LACEY, Andrew","KZ6","N/A","N/A","N/A","490","I ask the Minister for Works and Railways whether he has any information to give the House in reference to the construction of the Port Augusta-Hay railway?","PORT AUGUSTA-HAY RAILWAY","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","24","STEWART, Percy","KV8","N/A","CP","N/A","490","The reply to the honorable member is ' No.'","PORT AUGUSTA-HAY RAILWAY","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[3]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","26","MOLONEY, Parker","L4X","N/A","ALP","N/A","490","I wish to obtain from the Attorney-General some information about an. old friend. Is he prepared to tell the House what has become of the Kidman and Mayoh shipbuilding contract? Was it sunk with the Australia the other day? I should like to know what is the position in regard to the whole matter.","KIDMAN AND MAYOH CONTRACT","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[4]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","28","GROOM, Littleton","KFK","N/A","NAT","N/A","490","The case, at present, is subject to a reserved decision of the High Court. When that decision has been given, I shall communicate it to the honorable member.","KIDMAN AND MAYOH CONTRACT","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[4]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","30","GREGORY, Henry","KFE","N/A","N/A","N/A","490","asked the Minister for Trade and Customs, upon notice -  1.Whether imported shovels were not, previous to 1920, admitted into Australia free of duty as tools of trade? 2.On what date was the duty imposed? 3.What procedure was adopted so as to make them dutiable? 4.What rate of duty was thereafter imposed? 5.What was the official reason for making shovels dutiable? 6.How many factories in Australia are now engaged in the manufacture of shovels? 7.How many men are now engaged in their manufacture? 8.What quantity of shovels was imported into Australia during the years 1921, 1922, 1923? 9.What quantity of shovels was made in Australia during 1921, 1922, 1923? 10.Does he not think it would be in the best interests of the people to again admit shovels free of duty?","DUTY ON SHOVELS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[5]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","32","CHAPMAN, Austin","JX7","N/A","NAT","N/A","491","The information is being obtained.","DUTY ON SHOVELS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[5]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","34","PRATTEN, Herbert","K1J","N/A","N/A","N/A","491","asked the Treasurer, uponnotice -  1.What was the total inclusive cost of H.M.A.S. Adelaide? 2. How much was paid for the cruisers Sydney and Melbourne; (b) are they sister ships of the Adelaide; (c) if not. in what way do they differ? 3.What is the actual total inclusive cost of the s.s Fordsdale? 4.What is the estimated cost of the sister ship now building? 5.At what price could these steamers have been purchased in England? 6.What is the position of other Government ship-building activities?","COST OF VESSELS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[6]/question/talk.start/para","N/A","N/A"
"0","1","0","0","0","0","0","1","0","36","PAGE, Earle","C7E","N/A","CP","N/A","491","The answers to the honorable member's questions are as follow : -  1.£1,271,782. 2. (a) Sydney, £385,000; Melbourne, £405,000; (b) No; (c) Adelaide has an extra 6-inch gun, and the arrangement of the boilers is different. 3 and 4.When accounts are finalized it is expected that the cost of the Fordsdale for material, labour, and other expenses of Cockatoo Island will be £821,000. The estimate for the Ferndale, on a similar basis, is £790,000. In addition, there are charges estimated at £37,500 and £25,000 respectively for administrative and general expenses of the Ship Construction Branch in Melbourne from 1st July, 1919. I may state that most of the material for these vessels was purchased when prices were at their greatest height. The cost of each of the vessels would be about £100,000 loss if materials were purchased to-day. 5.This information is not available in Australia. 6.After calling for public tenders, a contract was recently let to the Australian Shipping Board for the construction of two lighthouse vessels at a cost of £116,562 each. The construction of one vessel has been begun, and it is expected that both vessels will be completed in about two years. A small Customs launch is Hearing completion at Newcastle, the cost being about £1,170. No war vessels are at present in course of construction, and with the exception of the Ferndale no other commercial vessel is being constructed or is proposed.","COST OF VESSELS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[6]/answer/talk.start/para","N/A","N/A"
"1","0","0","0","0","0","0","1","0","38","FORDE, Francis Michael","F4U","N/A","N/A","N/A","490","asked the Treasurer, upon notice -","INVALID AND OLD-AGE PENSIONS","QUESTIONS","/hansard/chamber.xscript/debate[4]/subdebate.1[7]/question/talk.start/para","N/A","N/A"
