"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","chamber_flag","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","House of Representatives","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The House met at 2.30 p.m., pursuant to the proclamation of His Excellency the Governor-Genera 1 .","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Usher of the Black Rod being announced, was admitted, and delivered the message, that the Commissioner appointed by His Excellency the Governor-General requested the immediate attendance of honorable members in the Senate chamber.","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Honorable members attended accordingly, and having returned,","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Commissioner to administer the oath entered the chamber.","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[3]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk read a Commission, under the Great Seal of the Commonwealth, authorizing the Right Honorable Sir Samuel Walker Griffith, P. C, G.C.M.G., Chief Justice of the High Court of Australia, to administer the oath or affirmation of allegiance to the King required by law to be taken or made by members of the House of Representatives.","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[4]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk announced that he had received returns to the writs issued for the election of members of the House of Representatives. .","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[5]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The following honorable members made and subscribed the oath of allegiance : -","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[6]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Llewelyn Atkinson, Wilmot, Tasmania","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[7]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Hon. Frederick William Bamford, Herbert, Queensland","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[8]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Hon. Egerton Lee Batchelor, Boothby, South Australia","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[9]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Eric Kendall Bowden, Nepean, New South Wales","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[10]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Hon. Thomas Brown, Calare, New South Wales","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[11]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Ernest Shoebridge Carr, Macquarie, New South Wales","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[12]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","James Howard Catts, Cook, New South Wales","N/A","OPENING OF PARLIAMENT MEMBERS SWORN","/hansard/chamber.xscript/debate[2]/para[13]","N/A","N/A"
