"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","chamber_flag","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The House met at 2.30 p.m., pursuant to the proclamation of His Excellency the Governor-General.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk read the proclamation.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker took the chair, and read prayers.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Usher of the Black Bod, being announced, was admitted, and delivered the message that His Excellency the Governor-General desired the attendance of honorable members in the Senate chamber.","N/A","OPENING OF THE SESSION","/hansard/chamber.xscript/debate[2]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. SPEAKER and honorable members attended accordingly, and having returned -","N/A","OPENING OF THE SESSION","/hansard/chamber.xscript/debate[2]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. SPEAKER informed the House that he had received returns to the writs issued for the election of members to serve in the House of Representatives for the electoral division of Kalgoorlie, in the place of the Honorable Charles Edward Frazer, deceased, indorsed with a certificate of the election of the Honorable Hugh Mahon, and for the electoral division of Adelaide in the place of the Honorable Ernest Alfred Roberts, deceased, indorsed with a certificate of the election of George Edwin Yates, Esquire.","N/A","NEW MEMBERS","/hansard/chamber.xscript/debate[3]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. Mahon and Mr. Yates made and subscribed the oath of allegiance as members for the electoral districts of Kalgoorlie and Adelaide respectively.","N/A","NEW MEMBERS","/hansard/chamber.xscript/debate[3]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. SPEAKER, pursuant to standing order No. 25, laid upon the table his warrant nominating Mr. Atkinson, Mr. Bamford, Mr. Charlton, Dr. Maloney, and Mr. John Thomson to act as Temporary Chairmen -of Committees when requested so to do by the Chairman of Committees.","N/A","TEMPORARY CHAIRMEN OF COMMITTEES","/hansard/chamber.xscript/debate[4]/para","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Motion (by Mr. Joseph Cook) agreed to-","N/A","PARLIAMENTARY WITNESSES BILL","/hansard/chamber.xscript/debate[5]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","That leave bo given to bring in a Bill for an Act relating to parliamentarywitnesses.","N/A","PARLIAMENTARY WITNESSES BILL","/hansard/chamber.xscript/debate[5]/para[2]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Bill presented and read a first time.","N/A","PARLIAMENTARY WITNESSES BILL","/hansard/chamber.xscript/debate[5]/para[3]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Mr. BAMFORD presented a petition from certain residents of Woodlark Island, praying that a radio-telegraph station may be established at the island.","N/A","PETITION","/hansard/chamber.xscript/debate[6]/para[1]","N/A","N/A"
"0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Petition received and read.","N/A","PETITION","/hansard/chamber.xscript/debate[6]/para[2]","N/A","N/A"
"0","0","0","1","0","0","1","FISHER, Andrew","F4N","N/A","N/A","N/A","27","- I ask the Prime Minister, as Minister of Home Affairs, whether he will be good enough to have the file relating to the contract between the Government and Mr. Teesdale Smith laid on the table of the Library.","KALGOORLIE TO POET AUGUSTA RAILWAY","QUESTIONS","/hansard/chamber.xscript/debate[7]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","1","KELLY, William","KEA","N/A","LP","N/A","27","- In anticipation of the request, I was having the papers copied this morning, hoping to lay them on the table to-day. The fullest information will be placed before honorable members at the earliest possible moment.","KALGOORLIE TO POET AUGUSTA RAILWAY","QUESTIONS","/hansard/chamber.xscript/debate[7]/subdebate.1[1]/answer[1]/talk.start/para","N/A","N/A"
