index,question_flag,answer_flag,interjection_flag,speech_flag,petition_flag,quote_flag,motionnospeech_flag,chamber_flag,name,name.id,electorate,party,role,page.no,content,subdebateinfo,debateinfo,path,Speaker,Time
1,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Mr. Speaker (Hoa. Archie Cameron) took the chair at 2.30 p.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para","N/A","N/A"
2,1,0,0,0,0,0,0,1,"EVATT, Herbert Vere","DTN","N/A","N/A","N/A",141,"- I desire to ask the Minister for Immigration a question concerning the recent application by Professor Marcus Oliphant, head of one of the great faculties of the Australian National University, to visit the United States of America for the purpose of attending a scientific conference. I understand that a vise was either refused or withheld until it was too late for Professor Oliphant to attend the conference, although ample notice of his intention to visit the United States of America was given. I ask the Minister, first, whether the facts of the case came to his knowledge or to the knowledge of the Department of Immigration? Secondly, what does the Minister consider to be the duty of the. department for the protection of Australian citizens who wish to visit other countries for lawful reasons against the slur involved in apparent refusal or deliberate delaying of the issue of a vise? Thirdly, if the Minister is not aware of the circumstances himself, will he ascertain whether any official of the Australian Government took any part whatever in the refusal to issue a vise to Professor Oliphant, an action which has tended to injure Australia in the eyes of the world. I ask him whether officials, not only of his own department, but of any other department, such as the Department of External Affairs, were consulted on the withholding of this vise?","PROFESSOR MARCUS OLIPHANT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/question/talk.start/para","N/A","N/A"
3,0,0,0,1,0,0,0,1,"HOLT, Harold","009MC","N/A","LP","N/A",141,"- The right honorable member has asked, first, what knowledge I, personally, or my department have of this matter. Our only information has been that which has been contained in reports in the press. No application or request, so far as I am aware, has reached my department. It certainly has not reached me, nor, to the best of my knowledge, has it reached the Minister for External Affairs. The honorable member has asked what action can be taken to protect Australian citizens in these circumstances. This is a matter for determination entirely by the United States Government which alone decides whether it will issue a vise to persons who seek to visit the United States of America. Prom time to time in the past, when episodes of thissort have occurred, the citizen affected has made representations to my department, or to the Minister for External Affairs, or even to the Prime Minister, and have asked for intervention. In suchcases it has been the practice from time to time to make such representations when the government of the day considered it proper to do so. I am certain that if Professor Oliphant had made any such request to us it would have been given speedy and full consideration. The right honorable member asked further whether I could give an assurance that no action was taken by the Government or any department of the Commonwealth which would have brought about the refusal of a vise to Professor Oliphant. On such knowledge as I have I do not know of any action which was taken in my department or in any other department which would have had this effect. To the best of my knowledge the Government departments were not consulted, and took no step in the matter. However, I shall further investigate that aspect.","PROFESSOR MARCUS OLIPHANT","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/answer/talk.start/para","N/A","N/A"
4,1,0,0,0,0,0,0,1,"PEARCE, Henry","KXW","N/A","N/A","N/A",142,"- I ask the Minister acting for the Minister for Commerce and Agriculture to inform the House whether there is anything that this Government can do to offset the stupidity and criminal folly of the Queensland Government in its endeavour to smash the dairying industry in that State and replace butter with margarine on the tables of the people by refusing to allow the reasonable price, asked by the dairying industry, to be charged for butter.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[1]/talk.start/para","N/A","N/A"
5,0,0,1,0,0,0,0,1,"CALWELL, Arthur","BV8","N/A","N/A","N/A",142,"- I rise to a point of order. Is the honorable member in order in framing his question in such a way as to refer to the criminal folly of a State government of this country?","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[1]/interjection[1]/talk.start/para","N/A","N/A"
6,0,0,0,1,0,0,0,1,"SPEAKER, Mr",10000,"N/A","N/A","N/A",142,"- I did not hear those words. If they were uttered they were entirely out of order. No reflections may be cast upon a State government. The honorable member must withdraw any such words.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[1]/continue/talk.start/para","N/A","N/A"
7,0,0,1,0,0,0,0,1,"PEARCE, Henry","KXW","N/A","N/A","N/A",142,"- I withdraw.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[1]/interjection[2]/talk.start/para","N/A","N/A"
8,0,0,0,1,0,0,0,1,"ANTHONY, Hubert","JLZ","N/A","CP","N/A",142,"- There is very little that the Australian Government can do to force the Queensland Government to observe justice in respect of the dairying industry. The Joint Dairy Industry Advisory Committee recommended an increase of 9d. per lb. to be paid to. the dairy farmer to offset his increased costs of production.  Every State in Australia, except the two Labourgoverned States of New South Wales and Queensland, agreed to that increase being paid to the farmer through an increase in the retail price. The Governments of New South Wales and Queensland have deliberately refrained from allowing the dairy farmer to recoup his costs of production, and by the abuse of their pricefixing powers are preventing the farmer from getting a just price.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/answer[1]/talk.start/para","N/A","N/A"
9,0,0,0,0,0,0,0,1,"N/A","N/A","N/A","N/A","N/A","N/A","Honorable members interjecting,","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para","N/A","N/A"
10,0,0,0,1,0,0,0,1,"SPEAKER, Mr",10000,"N/A","N/A","N/A",142,"- Order ! All interjections must cease. Honorable members have a right to ask questions and the House has a right to hear the answers. Both questions and answers must be heard without comment.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/continue/talk.start/para","N/A","N/A"
11,1,0,0,0,0,0,0,1,"EGGINS, Eldred","KDH","N/A","N/A","N/A",142,"- My question relative to the butter industry has particular application to the State of New South Wales, the Government of which is doing its utmost to destroy the dairying industry by its refusal to recognize the requirements of the dairy farmer and the consumer. I make special reference to an advertisement which is published in a Sydney newspaper this morning. The Government of New South Wales is wasting public money on advertisements: of that kind-","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/talk.start/para","N/A","N/A"
12,0,0,0,1,0,0,0,1,"SPEAKER, Mr",10000,"N/A","N/A","N/A",142,"- Order! Will the honorable member frame his question?","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/continue[1]/talk.start/para","N/A","N/A"
13,0,0,0,1,0,0,0,1,"EGGINS, Eldred","KDH","N/A","N/A","N/A",142,"- I shall do so. Will the Minister representing the Minister acting for the Minister for Commerce and Agriculture inform me whether the Commonwealth has any plan for placing that industry on a secure basis for a long term? If it has such a plan, will the >Minister state the basic principles of it, and explain what is preventing their immediate implementation?","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[2]/continue[2]/talk.start/para","N/A","N/A"
14,0,0,0,1,0,0,0,1,"ANTHONY, Hubert","JLZ","N/A","N/A","N/A",143,"- The Commonwealth has a plan to give the industry security for a period of at least six years ahead. The plan provides for the Commonwealth to undertake to fix such a price to the farmer at the factory door, as is determined by the Joint Dairy Industry Advisory Committee. If the States care to use their powers to fix the price of the commodity from the factory door to the retailer, that is their proper function. The Government submitted this plan to the six State Governments and asked for their approval. The governments of Western Australia, South Australia, Victoria and Tasmania signified their agreement and, in each of those States, the price of butter has now been increased so as to return to the farmer a fair price based on the found cost of production. New South Wales and Queensland are standing out from the plan. The governments of those States are using their price-fixing powers in order to prevent the farmers from receiving the proved cost of production.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/answer[2]/talk.start/para","N/A","N/A"
15,1,0,0,0,0,0,0,1,"BURKE, Thomas","JTF","N/A","N/A","N/A",143,"- I ask the Minister representing the Minister who is acting for the Minister for Commerce and Agriculture whether it is a fact that there is no disagreement between any of the State governments concerning the requirements of the dairy-farmers. Is it also a fact that all of those governments agree that the cost of production, as determined, ought to be paid to the farmers? Do they differ only about the methods by which the payment should be made ? Is it further a fact that, if the price charged to the consumer were increased to the amount that has been determined as the cost of production, the basic wage would rise by about 2s. a week? If those are facts, will the Government cause an inquiry to be made in order to ascertain, first, the price that would have to be charged to the consumer in order to return by that means a fair price to the farmer, and, secondly, the probable effect upon the basic wage of the payment of the desired increase to the farmer by means of subsidy. Will the Government disclose the result of the in quiry to the House so as to show whether an increase of the return to the farmer by means of an increase of subsidy would prevent such a substantial basic wage rise as would occur, with consequent further inflationary effects, as the result of increasing the price to the consumer?","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[3]/talk.start/para","N/A","N/A"
16,0,0,0,1,0,0,0,1,"ANTHONY, Hubert","JLZ","N/A","N/A","N/A",143,"- There was originally a disagreement among the States concerning the method that should be used to provide dairy-farmers with a fair return based upon the found cost of production. At the outset, some of the State governments requested that this Government should find an amount equivalent to 3 1/2d. per lb. Finally, as I have said previously, Western Australia, South Australia, Victoria and Tasmania agreed to find the full -amount of the proposed increase. In the early stages, the Government of New South Wales refused to find even Id. per lb. It completely disowned the farmer and declared that it would not grant any price increase. The Queensland Government said that it would go so far as to grant an increase of 6d. per lb. but that this Government should find the remainder of the amount that would be needed. The fact is that, since this Government has been in office, it has increased the subsidy payment on butter from 6d. per lb. to ls. lid. per lb. This has increased the annual total of the subsidy from £6,000,000 to £16,800,000. Therefore, the Government says that it has gone far enough and that the burden of any further increase should be borne by the consumers.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/answer[3]/talk.start/para","N/A","N/A"
17,1,0,0,0,0,0,0,1,"ADERMANN, Charles","JLR","N/A","N/A","N/A",143,"- Has the attention of the Minister representing the Minister acting for the Minister for Commerce and Agriculture been directed to a recent news session broadcast by the Australian Broadcasting Commission, in which it was stated that Mr. Gair, the Acting Premier of Quensland, had claimed that, despite the shortage of butter in this country, the Commonwealth had permitted the export of large quantities of butter, and that the excess over normal exports was approximately 13,000 tons? Has the attention of the Minister also been directed to a statement by the Premier of New South Wales to the effect that the Commonwealth, which controls exports, has permitted to be exported from Australia 20,000 tons more butter than should have been exported if our population increase had been taken into account ? Will the Minister say what truth there is in those statements? Will he inform the House how much butter was exported from Australia during 1950-51 and 1949-50, during the last two months and during the corresponding period of last year?","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/question[4]/talk.start/para","N/A","N/A"
18,0,0,0,1,0,0,0,1,"ANTHONY, Hubert","JLZ","N/A","N/A","N/A",144,"- My attention has been directed to both of the statements to which the honorable gentleman has referred. According to the Australian Broadcasting Commission news broadcast, the Acting Premier of Queensland, Mr. Gair, said that this year the Commonwealth had permitted the export of 13,000 tons of butter more than was permitted to be exported last year. The Premier of New South Wales, Mr. McGirr, stated in the New South Wales Parliament the day before yesterday that 20,000 tons of butter had been exported. I took the trouble to ascertain the correct figures relating to butter exports. They are 82,900 tons in 1948; 81,400 tons in 1949-50; and 53,000 tons in 1950-51. During July, 1950, 1,092 tons of butter was exported, compared with 260 tons during July of this year. In August, 1950, 1,583 tons was exported, compared with 40 tons in August of this year. The statements made by the Premier of New South Wales and the Acting Premier of Queensland were completely incorrect. If they did not know that the figures that they cited were incorrect, they should, before they made public statements, have made sure that what they intended to say was accurate.","DAIRYING","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/answer[4]/talk.start/para","N/A","N/A"
19,1,0,0,0,0,0,0,1,"CREMEAN, John","K7O","N/A","N/A","N/A",144,"- I ask the Minister for External Territories what particular qualifications were possessed by Mr. D. M. Cleland to warrant his appointment as assistant administrator- -","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/talk.start/para","N/A","N/A"
20,0,0,0,1,0,0,0,1,"SPEAKER, Mr",10000,"N/A","N/A","N/A",144,"- Order ! The honorable member is asking a question about a persons qualifications. Such a question must be placed on the notice-paper.","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/continue[1]/talk.start/para","N/A","N/A"
21,0,0,0,1,0,0,0,1,"CREMEAN, John","K7O","N/A","N/A","N/A",144,"- Perhaps I can submit it in this way-","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/continue[2]/talk.start/para","N/A","N/A"
22,0,0,0,1,0,0,0,1,"SPEAKER, Mr",10000,"N/A","N/A","N/A",144,"- Order ! The honorable member cannot submit without notice any question with regard to a person.","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/continue[3]/talk.start/para","N/A","N/A"
23,0,0,0,1,0,0,0,1,"CREMEAN, John","K7O","N/A","N/A","N/A",144,"- Were applications invited for appointment to the position of assistant administrator of the Territory of Papua and New Guinea? If so, from whom were they invited, and were applications invited from persons both within the Public Service and outside of it?","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/question/continue[4]/talk.start/para","N/A","N/A"
24,0,0,0,1,0,0,0,1,"HASLUCK, Paul","ZL6","N/A","LP","N/A",144,"- During the term of office of my predecessor, applications were invited by public advertisement throughout the Commonwealth for appointment to two positions of deputy administrator in the Territory of Papua and New Guinea. A large number of applications were received from persons both inside and outside the public services of the Territory of Papua and New Guinea and of the Commonwealth.","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/answer/talk.start/para","N/A","N/A"
25,0,0,1,0,0,0,0,1,"WARD, Edward","KX7","N/A","N/A","N/A",144,"- Did the Administrator ask for assistance?","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/answer/interjection[1]/talk.start/para","N/A","N/A"
26,0,0,0,1,0,0,0,1,"SPEAKER, Mr",10000,"N/A","N/A","N/A",144,"-Order ! The honor- able member for East Sydney.","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/answer/continue[1]/talk.start/para","N/A","N/A"
27,0,0,0,1,0,0,0,1,"HASLUCK, Paul","ZL6","N/A","N/A","N/A",144,"- Those applications were submitted in the usual way to the Public Service Commissioner and to my department, and as the result a recommendation was placed before my predecessor that the outstanding candidate among all the applicants was Mr. D. M. Cleland.","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/answer/continue[2]/talk.start/para","N/A","N/A"
28,0,0,1,0,0,0,0,1,"WARD, Edward","KX7","N/A","N/A","N/A",144,"- Why?","PAPUA AND NEW GUINEA","QUESTIONS","/hansard/chamber.xscript/debate[1]/subdebate.1[3]/answer/interjection[2]/talk.start/para","N/A","N/A"
