"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The House met at 10.30 a.m., pursuant to the proclamation of Hia Excellency the Governor-General.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clbbk rcsd the proclamation.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The USHER ov t\vb Black Bop, being announced, was admitted, and .delivered the message that the Deputy of the","N/A","OPENING OF THE PARLIAMENT","/hansard/chamber.xscript/debate[2]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Governor-General for the Opening of the Parliament requested the attendance of honorable members in the Senate chamber forthwith.","N/A","OPENING OF THE PARLIAMENT","/hansard/chamber.xscript/debate[2]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Honorable members attended accordingly, and, having returned,- the Deputy authorized by the Governor-General to administer the oath or affirmation entered the chamber.","N/A","OPENING OF THE PARLIAMENT","/hansard/chamber.xscript/debate[2]/para[3]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clbbk read the commission, under the Great Seal of the Commonwealth authorizing the Bight Honorable Sir John Greig Latham, Chief Justice of the High Court of Australia, to administer the oath or affirmation of allegiance to the King required by the Constitution to be taken or made bv members of the House of Representatives.","N/A","OPENING OF THE PARLIAMENT","/hansard/chamber.xscript/debate[2]/para[4]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk. - I have to announce that I have received from the Official Secretary to the Governor-General returns to 123 writs for the election of members of the House of Representatives, held on 10th December, 1949.","N/A","MEMBERS SWORN","/hansard/chamber.xscript/debate[3]/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The following honorable members made and subscribed the oath or affirmation of allegiance : - Adermann, Charles Frederick, Fisher,","N/A","MEMBERS SWORN","/hansard/chamber.xscript/debate[3]/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Queensland. Anderson, Charles Groves Wright,","N/A","MEMBERS SWORN","/hansard/chamber.xscript/debate[3]/para[3]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Hume, Hew South Wales. Anderson, Gordon, Kingsford-Smith,","N/A","MEMBERS SWORN","/hansard/chamber.xscript/debate[3]/para[4]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","New South Wales. Andrews, Thomas William, Darebin, Victoria.","N/A","MEMBERS SWORN","/hansard/chamber.xscript/debate[3]/para[5]","N/A","N/A"
