"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","non_speech_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time","Other"
"0","0","0","0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","The Senate met at 3 p.m., pursuant to the proclamation of His Excellency the Governor-General.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","The President (Senator the Hon. Gordon Brown) took the chair.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[2]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","3","N/A","N/A","N/A","N/A","N/A","N/A","The Clerk read the proclamation.","N/A","PROCLAMATION","/hansard/chamber.xscript/debate[1]/para[3]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","4","N/A","N/A","N/A","N/A","N/A","N/A","NOR-GENERAL entered the chamber, and, being seated, with the President on his right hand, commanded that a message be sent to the House of Representatives, intimating that he desired the attendance of honorable members in the Senate chamber forthwith, who, being come with their Deputy Speaker,","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[1]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","5","N/A","N/A","N/A","N/A","N/A","N/A","HIS EXCELLENCY was pleased to deliver the following speech:-","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[2]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","6","N/A","N/A","N/A","N/A","N/A","N/A","Members of the Senate and Members of the House of Representatives:","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[3]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","7","N/A","N/A","N/A","N/A","N/A","N/A","You have been called together to deliberate upon matters of importance to the well-being of the Commonwealth.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[4]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","8","N/A","N/A","N/A","N/A","N/A","N/A","Since my predecessor, His Royal Highness the Duke of Gloucester, last addressed you, advice has been received that His Majesty, accompanied by Her Majesty and the Princess Margaret, will visit Australia in the early months of next year. I know that you share with' me, as, indeed, do all Australians, the great pleasure that this news has brought. 'We all look forward to extending to Their Majesties and Her Royal Highness a most cordial and affectionate welcome and express the wish that their stay in Australia will be a very happy one.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[1]/item[1]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","9","N/A","N/A","N/A","N/A","N/A","N/A","The Budget will be presented to Parliament .early in the session. It will provide for the necessary defence and post-war charges with which the country is faced and for the development of peace-time services.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[1]/item[2]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","10","N/A","N/A","N/A","N/A","N/A","N/A","Recognizing the importance to Australia and indeed to the whole world of the efforts which the United Kingdom is making to overcome her own economic and financial problem and to stimulate recovery in Europe, my Government proposes to make a gift of £A.10,000,000 to the Government of the United Kingdom.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[5]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","11","N/A","N/A","N/A","N/A","N/A","N/A","Legislation to give effect to this proposal will be introduced to Parliament during the current session.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[6]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","12","N/A","N/A","N/A","N/A","N/A","N/A","As you were told when the first session of the Parliament was opened, the maintenance of economic stability in Australia has always been the first concern of my Government, with emphasis on ensuring that all available resources are employed in ways contributing most effectively to raising standards of living, developing productive capacity and making adequate provision for defence. Civil employment increased by 100,000 during the last financial year and is now 640,000 above 1939.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[2]/item[1]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","13","N/A","N/A","N/A","N/A","N/A","N/A","During the last two years, my Government has been represented at international conferences devoted to trade and employment and will seek authority from Parliament to sign an agreement setting up an International Trade Organization. My Minister for Post-war Reconstruction the Honorable J. J. Dedman, rendered distinguished service at these conferences.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[2]/item[2]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","14","N/A","N/A","N/A","N/A","N/A","N/A","My Prime Minister has devoted a great deal of time to a study of the economic problems besetting the world and having repercussions upon our' own economy. On behalf of my Government, he has affirmed that it is the duty of Australia to stand by the United Kingdom and to assist her in every possible way. My Prime Minister has recently returned from London where he consulted with the Prime Minister and many members of His Majesty's Government in the United Kingdom.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[2]/item[3]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","15","N/A","N/A","N/A","N/A","N/A","N/A","My Government has taken drastic measures to curtail dollar expenditure by Australia and is doing everything possible to increase Australia's earnings of dollars.' The object of these measures is to assist the United Kingdom in meeting the dollar shortage and to conserve the reserves of gold and dollars which it holds on behalf of the whole sterling area. My","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[2]/item[4]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","16","N/A","N/A","N/A","N/A","N/A","N/A","Ministers have expressed their firm intention to give all possible help to the United Kingdom in her great recovery efforts.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[7]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","17","N/A","N/A","N/A","N/A","N/A","N/A","When my predecessor spoke to you in opening this Parliament, my Government's programme for the organization of the post-war defence forces was fully explained. My Government has developed this programme having regard to the most effective manner of self-defence; to co-operation in Empire and regional defence; and to the fulfilment of obligations under the Charter of the United Nations. As an example of what has been achieved, the rocket-range project in southern Australia is proceeding satisfactorily in collaboration with the British authorities.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[3]/item[1]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","18","N/A","N/A","N/A","N/A","N/A","N/A","A Joint War Production Staff is to be established as part of the defence machinery for the co-ordination of strategic plans for production requirements, particularly from the angle of the development of Australia as a main support area in the Pacific.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[3]/item[2]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","19","N/A","N/A","N/A","N/A","N/A","N/A","The crew of Australia's first aircraft carrier, H.M.A.S. Sydney, has left for Britain and the vessel will arrive in Australia in the early months of next year. Following my Government's decision to establish a base at Manus, preliminary steps have been taken to effect occupation.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[3]/item[3]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","20","N/A","N/A","N/A","N/A","N/A","N/A","My Government has maintained its interest in international affairs with sustained adherence to the United Nations and its related organizations. My Minister for External Affairs, the Bight Honorable Dr. H. V. Evatt, is at present abroad for these purposes, as well as to be readily available for consultations at London. My Government will continue to assist in establishing a just and lasting peace. It has viewed with dismay and misgiving the unfortunate divisions of opinion among the war-time Allies in Europe. My Prime Minister visited","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[3]/item[4]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","21","N/A","N/A","N/A","N/A","N/A","N/A","Berlin during his recent visit overseas and consulted closely with administrators there. He also had discussions with the British Prime Minister and the Foreign Secretary concerning the problem of Germany. My Prime Minister has already indicated the Australian Government's support of the policy of the British and American authorities.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[8]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","22","N/A","N/A","N/A","N/A","N/A","N/A","In the Pacific, my Government is closely linked with British and American policy and the measure of co-operation obtained in many matters has been most gratifying. My advisers have not relaxed their efforts to obtain an early peace settlement in the Pacific with Australia having full rights as a party principal in keeping with her war-time efforts.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[4]/item[1]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","23","N/A","N/A","N/A","N/A","N/A","N/A","My Government has carried through its demobilization plans with almost unrivalled success aimed at the re-absorption of ex-service men and women into civil industry.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[4]/item[2]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","24","N/A","N/A","N/A","N/A","N/A","N/A","During the last session, my Government passed an act to continue, for a time, safeguards under the. National Security Act designed to preserve a stabilized economy. My advisers are at present reviewing the scope of this act and propose to introduce a new measure to continue those sections regarded as essential to the national welfare. Following the taking of a referendum of the people on prices control, my Government arranged for a transference of this matter and of the control of rents and land values to the Governments of the States. My advisers have co-operated with the States to ensure an orderly transition in the interests of the people.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[4]/item[3]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","25","N/A","N/A","N/A","N/A","N/A","N/A","My Government has always been desirous of securing increased production in Australia and further steps are now being taken towards achieving this end. My Prime Minister and the Minister for","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[4]/item[4]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","26","N/A","N/A","N/A","N/A","N/A","N/A","Labour and National Service, the Honorable E. J. Holloway, are actively engaged on this matter. It is the intention of my Prime Minister and the Minister for Shipping and Fuel, Senator the Honorable W. P. Ashley, to meet as many of the workers engaged in the coal industry as possible. My Government has continually stressed the importance of coal production to the plans for Australia's expansion and development, and to the maintenance of all citizens in gainful employment. My advisers have worked closely with the Government of the State of New South Wales in the operation of the Coal Industry Act.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[9]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","27","N/A","N/A","N/A","N/A","N/A","N/A","My advisers took steps to ensure that the hearing of a claim for a shorter working week was expedited before the Commonwealth Arbitration Court and it will be noted that the justices of the court brought down their finding with a minimum of delay. My Government has passed what is hoped will be a monumental statute for those engaged in industry, involving as it did almost a complete re-draft of the Commonwealth Conciliation and Arbitration Act.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[5]/item[1]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","28","N/A","N/A","N/A","N/A","N/A","N/A","My Government has passed legislation to establish the Stevedoring Industry Commission as a peace-time statutory body and my advisers have concerned themselves with the question of efficient handling of ships and cargoes.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[5]/item[2]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","29","N/A","N/A","N/A","N/A","N/A","N/A","The Commonwealth Employment Service has been successfully operated for two years and 348,000 persons have been placed in employment.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[5]/item[3]/para","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","30","N/A","N/A","N/A","N/A","N/A","N/A","IS. During the last session, my Government passed a measure to give this Parliament control over banking. The. High Court has ruled that certain sections of that act are invalid. After examination of the court's findings, my advisers have decided to seek an early appeal to the Privy Council.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/para[10]","N/A","N/A","N/A"
"0","0","0","0","0","0","0","1","1","31","N/A","N/A","N/A","N/A","N/A","N/A","In keeping with Australia's proud record in civil aviation, my Government has taken a leading part in the establishment of the International Civil Aviation Organization. In addition, the operation of services to London and across the Pacific is being carried on with marked success. The service operated within Australia by Trans-Australia Airlines has received widespread praise because of its efficiency and the courtesy of its personnel.","N/A","HIS EXCELLENCY THE GOVER","/hansard/chamber.xscript/debate[3]/list[6]/item[1]/para","N/A","N/A","N/A"
